

央视频道,#genre#
CCTV-1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1综合,http://183.63.15.42:9901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-1综合,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-1综合,http://175.10.37.200:9901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://111.20.35.103:6610/yinhe/2/ch00000090990000001018/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-1综合,http://111.20.35.103:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-1综合,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://42.176.185.28:9901/tsfile/live/1022_1.m3u8
CCTV-1综合,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://183.196.25.171:808/hls/1/index.m3u8
CCTV-1标清,https://cctvwbndtxy.liveplay.myqcloud.com/cctvwbnd/jzcctv1_2/index.m3u8
CCTV-1标清,http://111.20.40.171/PLTV/88888893/224/3221226583/index.m3u8
CCTV-1标清,http://111.20.40.170/PLTV/88888893/224/3221226583/index.m3u8
CCTV-1标清,http://111.20.40.163/PLTV/88888893/224/3221226583/index.m3u8
CCTV-1标清,http://111.20.40.162/PLTV/88888893/224/3221226583/index.m3u8
CCTV-1标清,http://111.20.40.160/PLTV/88888893/224/3221226583/index.m3u8
CCTV-2财经,http://113.117.74.10:8081/hls/2/index.m3u8
CCTV-2财经,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV-2财经,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-2财经,http://175.10.37.200:9901/tsfile/live/0002_1.m3u8
CCTV-2财经,http://111.20.35.103:6610/yinhe/2/ch00000090990000001021/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-2财经,http://111.20.35.103:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2财经,http://111.20.35.103:6610/yinhe/2/ch00000090990000001840/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-2财经,http://183.63.15.42:9901/tsfile/live/0002_1.m3u8
CCTV-2财经,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2财经,http://183.196.25.171:808/hls/2/index.m3u8
CCTV-3综艺,http://111.20.40.173/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3综艺,http://111.20.40.172/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3综艺,http://111.20.40.167/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3综艺,http://111.20.40.166/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3综艺,http://113.117.74.10:8081/hls/3/index.m3u8
CCTV-3综艺,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV-3综艺,http://175.10.37.200:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV-3综艺,http://111.20.35.103:6610/yinhe/2/ch00000090990000001009/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-3综艺,http://111.20.35.103:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-3综艺,http://111.20.35.103:6610/yinhe/2/ch00000090990000001839/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-3综艺,http://123.6.9.146/live/jz-cctv-3/live.m3u8
CCTV-3综艺,http://183.63.15.42:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://183.196.25.171:808/hls/75/index.m3u8
CCTV-4中文国际,http://111.20.40.173/PLTV/88888893/224/3221226191/index.m3u8
CCTV-4中文国际,http://111.20.40.172/PLTV/88888893/224/3221226191/index.m3u8
CCTV-4中文国际,http://111.20.40.164/PLTV/88888893/224/3221226191/index.m3u8
CCTV-4中文国际,http://111.20.40.160/PLTV/88888893/224/3221226191/index.m3u8
CCTV-4中文国际,http://113.117.74.10:8081/hls/4/index.m3u8
CCTV-4中文国际,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV-4中文国际,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4中文国际,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV-4中文国际,http://175.10.37.200:9901/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4中文国际,http://111.20.35.103:6610/yinhe/2/ch00000090990000001015/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-4中文国际,http://111.20.35.103:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-4中文国际,http://183.63.15.42:9901/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://222.240.82.92:9901/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4中文国际,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV-5体育,http://113.117.74.10:8081/hls/5/index.m3u8
CCTV-5体育,http://111.20.40.173/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.20.40.168/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.20.40.167/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.20.40.166/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.20.40.165/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.20.40.164/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.20.40.163/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.20.40.162/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.20.40.160/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://113.117.74.10:8081/hls/5/index.m3u8
CCTV-5体育,http://123.6.9.146/live/jz-cctv-5/live.m3u8
CCTV-5体育,http://125.210.152.19:9120/live/hzgq-cctv5gq-h264.m3u8
CCTV-5体育,http://175.10.37.200:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://111.20.35.103:6610/yinhe/2/ch00000090990000001010/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-5体育,http://111.20.35.103:6610/yinhe/2/ch00000090990000001587/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-5体育,http://222.240.82.92:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://183.196.25.171:808/hls/78/index.m3u8
CCTV-5+体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-5+体育赛事,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV-5+体育赛事,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV-5+体育赛事,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000246
CCTV-5+体育赛事,http://183.196.25.171:808/hls/61/index.m3u8
CCTV-6电影,http://113.117.74.10:8081/hls/6/index.m3u8
CCTV-6电影,http://111.20.40.173/PLTV/88888893/224/3221226393/index.m3u8
CCTV-6电影,http://111.20.40.172/PLTV/88888893/224/3221226393/index.m3u8
CCTV-6电影,http://111.20.40.167/PLTV/88888893/224/3221226393/index.m3u8
CCTV-6电影,http://111.20.40.166/PLTV/88888893/224/3221226393/index.m3u8
CCTV-6电影,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203303.m3u8
